Província,Tipus de fet,Àmbit fet,Sexe,Edat,Nombre víctimes,Date,Municipi_clean,Comarca_clean,Rol_autor,Rol_victima
barcelona,delicte,lgtbi fobia,home,28,1,2021-01-01,barcelona,barcelones,False,True
barcelona,delicte,lgtbi fobia,home,27,1,2021-01-01,barcelona,barcelones,False,True
barcelona,delicte,lgtbi fobia,dona,23,1,2021-01-01,barcelona,barcelones,True,False
barcelona,delicte,lgtbi fobia,home,24,1,2021-01-01,barcelona,barcelones,False,True
barcelona,delicte,lgtbi fobia,dona,21,1,2021-01-01,barcelona,barcelones,True,False
barcelona,delicte,religios,home,54,1,2021-01-01,manresa,bages,False,True
barcelona,delicte,religios,home,51,1,2021-01-01,manresa,bages,True,False
barcelona,delicte,etnic/origen nacional/origen racial,home,19,1,2021-01-01,cabrils,maresme,False,True
barcelona,delicte,etnic/origen nacional/origen racial,home,20,1,2021-01-01,cabrils,maresme,False,True
barcelona,delicte,etnic/origen nacional/origen racial,home,15,1,2021-01-01,premia de mar,maresme,True,False
barcelona,delicte,etnic/origen nacional/origen racial,home,16,1,2021-01-01,premia de mar,maresme,True,False
barcelona,delicte,lgtbi fobia,dona,34,1,2021-01-01,barcelona,barcelones,True,False
barcelona,delicte,lgtbi fobia,home,29,1,2021-01-01,barcelona,barcelones,True,False
barcelona,delicte,lgtbi fobia,home,29,1,2021-01-01,barcelona,barcelones,True,False
barcelona,delicte,lgtbi fobia,home,31,1,2021-01-01,barcelona,barcelones,False,True
barcelona,delicte,lgtbi fobia,home,24,1,2021-01-01,barcelona,barcelones,True,False
barcelona,delicte,lgtbi fobia,dona,29,1,2021-01-01,barcelona,barcelones,False,True
barcelona,delicte,etnic/origen nacional/origen racial,home,54,1,2021-01-01,barcelona,barcelones,True,False
barcelona,delicte,etnic/origen nacional/origen racial,home,67,1,2021-01-01,barcelona,barcelones,False,True
barcelona,delicte,etnic/origen nacional/origen racial,home,31,1,2021-01-01,barcelona,barcelones,False,True
barcelona,delicte,etnic/origen nacional/origen racial,home,48,1,2021-01-01,mollet del valles,valles oriental,True,False
barcelona,delicte,etnic/origen nacional/origen racial,home,41,1,2021-01-01,mollet del valles,valles oriental,False,True
barcelona,delicte,etnic/origen nacional/origen racial,home,74,1,2021-01-01,premia de mar,maresme,True,False
barcelona,delicte,etnic/origen nacional/origen racial,dona,23,1,2021-01-01,girona,maresme,False,True
barcelona,delicte,etnic/origen nacional/origen racial,dona,40,1,2021-01-01,manresa,valles occidental,False,True
barcelona,delicte,religios,home,43,1,2021-01-01,manresa,barcelones,False,True
barcelona,delicte,religios,home,41,1,2021-01-01,hospitalet de llobregat,barcelones,True,False
barcelona,altres,lgtbi fobia,home,44,1,2021-01-01,sant adria de besos,barcelones,False,True
barcelona,delicte,lgtbi fobia,home,62,1,2021-01-01,barcelona,barcelones,True,False
barcelona,delicte,lgtbi fobia,home,26,1,2021-01-01,barcelona,barcelones,False,True
tarragona,delicte,orientacio politica,home,46,1,2021-01-01,tarragona,tarragones,False,True
barcelona,delicte,orientacio politica,home,24,1,2021-01-01,igualada,anoia,False,True
barcelona,delicte,lgtbi fobia,dona,37,1,2021-01-01,barcelona,barcelones,False,True
barcelona,delicte,etnic/origen nacional/origen racial,dona,58,1,2021-01-01,barcelona,barcelones,True,False
barcelona,delicte,etnic/origen nacional/origen racial,dona,39,1,2021-01-01,barcelona,barcelones,False,True
barcelona,delicte,sexisme,home,20,1,2021-01-01,barcelona,barcelones,True,False
barcelona,delicte,sexisme,dona,43,1,2021-01-01,barcelona,barcelones,False,True
barcelona,delicte,antisemita,home,20,1,2021-02-01,barcelona,barcelones,True,False
barcelona,delicte,antisemita,home,25,1,2021-02-01,barcelona,barcelones,True,False
barcelona,delicte,antisemita,home,15,1,2021-02-01,barcelona,barcelones,True,False
barcelona,delicte,antisemita,home,25,1,2021-02-01,barcelona,barcelones,True,False
barcelona,delicte,antisemita,home,33,1,2021-02-01,barcelona,barcelones,True,False
barcelona,delicte,antisemita,home,55,1,2021-02-01,barcelona,barcelones,False,True
barcelona,delicte,orientacio politica,home,31,1,2021-02-01,calders,moianes,False,True
girona,delicte,lgtbi fobia,home,52,1,2021-02-01,celra,girones,False,True
barcelona,delicte,etnic/origen nacional/origen racial,dona,45,1,2021-02-01,manresa,bages,True,False
barcelona,delicte,etnic/origen nacional/origen racial,home,13,1,2021-02-01,manresa,bages,False,True
barcelona,delicte,discapacitat psiquic/mental,dona,14,1,2021-02-01,sant vicenc dels horts,baix llobregat,True,False
barcelona,delicte,discapacitat psiquic/mental,dona,17,1,2021-02-01,sant vicenc dels horts,baix llobregat,False,True
barcelona,delicte,etnic/origen nacional/origen racial,dona,50,1,2021-02-01,barcelona,barcelones,False,True
